SR NO:,CUSTOMER,STANDARD,GRADE,MATERIAL,working temperature ,working pressue 
1,NAVISTAR,MPAPS F-30/F-1,1B,P-EPDM,,
2,NAVISTAR,MPAPS F-30/F-1,1BF,P-EPDM,,
3,NAVISTAR,MPAPS F-30/F-1,1BFD,P-EPDM WITH SPRING INSERT,,
4,NAVISTAR,MPAPS F-30/F-1,2B,SILICONE,,
5,NAVISTAR,MPAPS F-30/F-1,2C,SILICONE,,
6,NAVISTAR,MPAPS F-6032,Type I,"INNER NBR OUTER:ECO",,
7,NAVISTAR,MPAPS F-6028,--,"INNER:NBR OUTER:CR",,
8,NAVISTAR,MPAPS F-6034,H-AN,HIGH TEMP. SILICONE,,
9,NAVISTAR,MPAPS F-6034,H-ANR,"INNER:FKN OUTER:HIGH TEMP. SILICONE",,
10,NAVISTAR,MPAPS F-6034,C-AN,HIGH TEAR SILICONE,,
,NAVISTAR,MPAPS F - 6034 ,   GRADE C-BNR,CSM,,
,,,,,,
,,,,,,
,,,,,,
11,NAVISTAR,MPAPS F-1058 TYPE 1,--,M.S. WITH HRAL(MILD STEEL WITH HEAT RESISTANT ALUMINUM),,
12,NAVISTAR,MPAPS F-1058 TYPE 2,--,ACMS(ALUMINIUM COATED MILD STEEL),,
13,MAN,M3055-5,--,AEM,,
14,MAN,M3055-5L,--,AEM,,
15,MAN,M3055-6L,--,VMQ,,
16,MAN,M3055-7,--,"INNER:FKM OUTER:VMQ",,
17,MAN,M3055-7L,--,"INNER:FKM OUTER:VMQ",,
18,MAN,M3177,--,MVQ,,
19,MAN,MAN 303,--,ECO,,
20,MAN,MAN 308,--,FKM,,
21,MAN,TL 52361,--,P-EPDM,,
22,MAN,M3342,--,Material is mentioned as per type,,
23,MAN,man 333-N1,--,"INNER:NBR OUTER:CR",,
24,MAN,man 333-N1W,--,"INNER:NBR OUTER:CR (with wire)",,
25,MAN,MAN 305,--,EPDM,,
26,SCANIA,4496,--,SILICONE,,
27,SCANIA,4498,--,AEM OR ACM,,
28,SCANIA,4542,--,PEPDM,,
29,SAE,J20,CLASS A,SILICONE,,
30,SAE,J20,CLASS B,NBR,,
31,SAE,J20,CLASS C,CR,,
,SAE,J20,CLASS R (OLD STANDARD ),EPDM ,,
32,SAE,J20,"CLASS D1,D2,D3",EPDM,,
33,SAE,J30,"R6,R7,R8","INNER:NBR OUTER:CR",,
,SAE,J30,R11,TUBE & COVER - POLYACRYLIC,,
34,SAE,J30,R12,"INNER:VITON OUTER:ECO",,
